ImmutableMultiDict([('phrase', 'how are you'), ('letters', 'aieuo')]) {'e', 'u', 'a', 'o'}|127.0.0.1|Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_1) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.0.1 Safari/605.1.15|{'e', 'u', 'a', 'o'}
ImmutableMultiDict([('phrase', '7789sdjshd'), ('letters', '1278')]) {'8', '7'}|127.0.0.1|Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_1) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.0.1 Safari/605.1.15|{'8', '7'}
ImmutableMultiDict([('phrase', 'talk is cheap show me the code'), ('letters', 'this')]) {'t', 'i', 's', 'h'}|127.0.0.1|Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_1) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.0.1 Safari/605.1.15|{'t', 'i', 's', 'h'}
ImmutableMultiDict([('phrase', 'how are you Rebecca'), ('letters', 'aieuo')]) {'e', 'a', 'o', 'u'}|127.0.0.1|Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_1) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.0.1 Safari/605.1.15|{'e', 'a', 'o', 'u'}
ImmutableMultiDict([('phrase', '1+23=124'), ('letters', '+12')]) {'2', '+', '1'}|127.0.0.1|Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_1) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.0.1 Safari/605.1.15|{'2', '+', '1'}
ImmutableMultiDict([('phrase', 'talk is cheap show me the code'), ('letters', 'isea ')]) {'e', ' ', 'i', 's', 'a'}|127.0.0.1|Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_1) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.0.1 Safari/605.1.15|{'e', ' ', 'i', 's', 'a'}
ImmutableMultiDict([('phrase', 'how are you Rebecca'), ('letters', 'aieuo')]) {'e', 'a', 'o', 'u'}|127.0.0.1|Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_1) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.0.1 Safari/605.1.15|{'e', 'a', 'o', 'u'}
ImmutableMultiDict([('phrase', '1+23=124'), ('letters', '1+7')]) {'1', '+'}|127.0.0.1|Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_1) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.0.1 Safari/605.1.15|{'1', '+'}
ImmutableMultiDict([('phrase', 'talk is cheap show me the code'), ('letters', 'sided ')]) {'i', 'e', 's', 'd', ' '}|127.0.0.1|Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_1) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.0.1 Safari/605.1.15|{'i', 'e', 's', 'd', ' '}
ImmutableMultiDict([('phrase', 'how are you Rebecca'), ('letters', 'aieuo')]) {'a', 'o', 'e', 'u'}|127.0.0.1|Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_1) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.0.1 Safari/605.1.15|{'a', 'o', 'e', 'u'}
ImmutableMultiDict([('phrase', 'how are you Rebecca'), ('letters', 'aieuo')]) {'e', 'a', 'u', 'o'}|127.0.0.1|Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_1) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.0.1 Safari/605.1.15|{'e', 'a', 'u', 'o'}
